savedIndex,alboumName,songerName,name,songUrl,songMP3Url,imageUrl,url
11,,,???? ???? - ??? ???? ????,,https://music.egonair.com/2023/May/Houda%20Bondok%20-%20Ana%20Hont%20Alek.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-34-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%88%d8%af%d9%87-%d8%a8%d9%86%d8%af%d9%82-%d8%a7%d9%86%d8%a7-%d9%87%d9%88%d9%86%d8%aa-%d8%b9%d9%84%d9%8a%d9%83/
12,,,????? ???? - ???? ??????,,https://music.egonair.com/2023/May/Eslam%20saso%20-%20Samra%20We%20Gamila.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-28-85x85.jpg,https://aghanyna.net/songs/%d8%a7%d8%b3%d9%84%d8%a7%d9%85-%d8%b3%d8%a7%d8%b3%d9%88-%d8%b3%d9%85%d8%b1%d9%87-%d9%88%d8%ac%d9%85%d9%8a%d9%84%d9%87/
13,,,??? ???????? - ???? ????,,https://music.egonair.com/2023/May/Reda%20El%20Bahrawy%20-%20Nefsi%20A3raf.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-21-85x85.jpg,https://aghanyna.net/songs/%d8%b1%d8%b6%d8%a7-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1%d8%a7%d9%88%d9%8a-%d9%86%d9%81%d8%b3%d9%8a-%d8%a7%d8%b9%d8%b1%d9%81/
14,,,???? ?????? ? ???? ???? - ??? ?????,,https://music.egonair.com/2023/May/Hamza%20Elsoghier%20-%20Ahmed%20Amer%20Bent%20Elnas.mp3,https://aghanyna.net/wp-content/uploads/2023/05/hqdefault-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d8%b2%d9%87-%d8%a7%d9%84%d8%b5%d8%ba%d9%8a%d8%b1-%d9%88-%d8%a7%d8%ad%d9%85%d8%af-%d8%b9%d8%a7%d9%85%d8%b1-%d8%a8%d9%86%d8%aa-%d8%a7%d9%84%d9%86%d8%a7%d8%b3/
15,,,??? ???? ? ??? ??????? ? ???? ??? ?????? - ???,,https://music.egonair.com/2023/May/Seif%20Magdy%20ft%20Abdelsalam%20ft%20Omar%20El%20Karawan%20-%20Homos.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-16-85x85.jpg,https://aghanyna.net/songs/%d8%b3%d9%8a%d9%81-%d9%85%d8%ac%d8%af%d9%8a-%d9%88-%d8%b9%d9%85%d8%b1-%d8%a7%d9%84%d9%83%d8%b1%d9%88%d8%a7%d9%86-%d9%88-%d9%85%d8%ad%d9%85%d8%af-%d8%b9%d8%a8%d8%af-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85/
16,,,???? ???? - ?????? ???? ????? - ???? ?? ???????,,https://music.egonair.com/2023/May/Essam.Sasa.Gehtna.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-12-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d8%ac%d9%8a%d9%87%d8%aa%d9%86%d8%a7-%d8%ac%d9%8a%d9%87%d8%aa-%d8%a8%d8%b4%d9%88%d8%a7%d8%aa-%d9%82%d9%84%d8%a8%d9%8a-%d8%b6%d8%af-%d8%a7%d9%84/
17,,,???? ???? - ???? ???? ???? ???? ???? - ???? ??????,,https://music.egonair.com/2023/May/Essam.Sasa.Ebni.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-3-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d8%a7%d8%a8%d9%86%d9%8a-%d9%8a%d8%b9%d9%86%d9%8a-%d8%a7%d8%ba%d9%84%d9%8a-%d8%ad%d8%a7%d8%ac%d9%87-%d8%b9%d9%86%d8%af%d9%8a-%d9%86%d9%88%d8%b1/
18,,,??? ???????? - ?? ?????,,https://music.egonair.com/2023/Apr/Reda%20Elbahrawy.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-72-85x85.jpg,https://aghanyna.net/songs/%d8%b1%d8%b6%d8%a7-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1%d8%a7%d9%88%d9%8a-%d8%a2%d9%87-%d9%8a%d8%a7%d8%b2%d9%85%d9%86/
19,,,???? ???? - ?????? - ?????? ?????? ??????,,https://music.egonair.com/2023/Apr/Essam%20Sasa%20-%20Omry%20Ada%20Awnta.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-66-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d8%a7%d9%84%d9%87%d9%8a%d8%a8%d9%87-%d8%a7%d9%84%d8%ae%d9%8a%d8%a8%d9%87-%d9%85%d8%a7%d9%84%d9%87%d8%a7%d8%b4-%d9%85%d9%88%d8%a7%d8%b9%d9%8a/
20,,,????? ????? - ?????? - ??? ???? ????,,https://music.egonair.com/2023/Apr/Hamada%20Soultan.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-64-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d8%a7%d8%af%d9%87-%d8%b3%d9%84%d8%b7%d8%a7%d9%86-%d8%a7%d9%84%d8%b9%d8%b2%d9%88%d8%a9-%d9%86%d9%82%d9%89-%d8%b5%d8%a7%d8%ad%d8%a8-%d8%a3%d8%b5%d9%8a%d9%84/
