name,songUrl,songMP3Url,imageUrl,url
الاعجاب واضح,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhmwd_alghyas_alaagab_wadh.mp3,https://www.mrmazika.com/uploads/cdnimg/4ad287854bee7b4b5f99460ab1b8ef61.jpg,https://www.mrmazika.com/listen/32298-محمود-الغياث-الاعجاب-واضح.html
مهرجان أصحا للحكايات - مع زياد ظاظا,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_wzt_mntsr_mhrgan_asha_llhkayat_-_ma_zyad_zaza.mp3,https://www.mrmazika.com/uploads/cdnimg/04044efad1304bdf8ebeb220601ad094.jpg,https://www.mrmazika.com/listen/32295-وزة-منتصر-مهرجان-أصحا-للحكايات---مع-زياد-ظاظا.html
يا بيبي - مع سارة الزكريا,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_amr_kmal_ya_byby_-_ma_sart_alzkrya.mp3,https://www.mrmazika.com/uploads/singers/omar-kamal_519.webp,https://www.mrmazika.com/listen/32207-عمر-كمال-يا-بيبي---مع-سارة-الزكريا.html
مهرجان حبيبى ده الى بحبه ده - مع اميرة الذهب,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hmw_byka_mhrgan_hbybi_dh_ali_bhbh_dh_-_ma_amyrt_alzhb.mp3,https://www.mrmazika.com/uploads/singers/hamo-beka_738.webp,https://www.mrmazika.com/listen/32292-حمو-بيكا-مهرجان-حبيبى-ده-الى-بحبه-ده---مع-اميرة-الذهب.html
ماجاش منك - ريمكس,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ahmd_btshan_magash_mnk_-_rymks.mp3,https://www.mrmazika.com/uploads/singers/91139-1328984647_245.webp,https://www.mrmazika.com/listen/32291-احمد-بتشان-ماجاش-منك---ريمكس.html
بلانكو - مع الصنص,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_abw_alanwar_blankw_-_ma_alsns.mp3,https://www.mrmazika.com/uploads/cdnimg/a290c0389c81bdeb8eefc81ee22b5899.webp,https://www.mrmazika.com/listen/32289-ابو-الانوار-بلانكو---مع-الصنص.html
حبة طبطبة - مع دياب,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_frkt_msar_agbary_hbt_tbtbt_-_ma_dyab.mp3,https://www.mrmazika.com/uploads/singers/masar-egbari_583.webp,https://www.mrmazika.com/listen/32286-فرقة-مسار-اجباري-حبة-طبطبة---مع-دياب.html
يا عسل,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_dyana_mardyny_ya_asl.mp3,https://www.mrmazika.com/uploads/cdnimg/40a0861be2df4dc56427429996efadf6.jpg,https://www.mrmazika.com/listen/32285-ديانا-مارديني-يا-عسل.html
محتاجكم,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_slah_albhr_mhtagkm.mp3,https://www.mrmazika.com/uploads/singers/salah-elbhr_974.webp,https://www.mrmazika.com/listen/32284-صلاح-البحر-محتاجكم.html
هنتقابل,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mslm_hntkabl.mp3,https://www.mrmazika.com/uploads/cdnimg/71b62430535afca7c964750323cd6296.webp,https://www.mrmazika.com/listen/32283-مسلم-هنتقابل.html
مهرجان انا سالك بين اندال _ قلبي ادمر منكو,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_asam_sasa_mhrgan_ana_salk_byn_andal___klby_admr_mnkw.mp3,https://www.mrmazika.com/uploads/cdnimg/ee746444b8c24192d54cf2f64a0b8bfc.jpg,https://www.mrmazika.com/listen/32276-عصام-صاصا-مهرجان-انا-سالك-بين-اندال-_-قلبي-ادمر-منكو.html
سوه مانرجع,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ahmd_star_swh_manrga.mp3,https://www.mrmazika.com/uploads/singers/ahmed-staar_552.webp,https://www.mrmazika.com/listen/32282-احمد-ستار-سوه-مانرجع.html
